stop_name,time
松園一丁目,13:55
松園一丁目,14:25
松園一丁目,14:55
松園一丁目,15:25
松園一丁目,15:55
松園一丁目,16:25
松園一丁目,16:45
松園一丁目,17:05
松園一丁目,17:20
松園一丁目,17:45
松園一丁目,18:10
松園一丁目,18:40
松園一丁目,19:20
松園一丁目,20:15
松園一丁目,21:15
松園南口,6:30
松園南口,7:06
松園南口,7:21
松園南口,7:36
松園南口,7:46
松園南口,8:16
松園南口,8:56
松園南口,9:26
松園南口,9:56
松園南口,10:26
松園南口,10:56
松園南口,11:26
松園南口,11:56
松園南口,12:26
松園南口,12:56
松園南口,13:26
松園南口,13:56
松園南口,14:26
松園南口,14:56
松園南口,15:26
松園南口,15:56
松園南口,16:26
松園南口,16:46
松園南口,17:06
松園南口,17:21
松園南口,17:46
松園南口,18:11
松園南口,18:41
松園南口,19:21
松園南口,20:16
松園南口,21:16
からと石,6:32
からと石,7:08
からと石,7:23
からと石,7:38
からと石,7:48
からと石,8:18
からと石,8:58
からと石,9:28
からと石,9:58
からと石,10:28
からと石,10:58
からと石,11:28
からと石,11:58
からと石,12:28
からと石,12:58
からと石,13:28
からと石,13:58
からと石,14:28
からと石,14:58
からと石,15:28
からと石,15:58
からと石,16:28
からと石,16:48
からと石,17:08
からと石,17:23
からと石,17:48
からと石,18:13
からと石,18:43
からと石,19:23
からと石,20:18
からと石,21:18
県営野球場前,6:33
県営野球場前,7:09
県営野球場前,7:24
県営野球場前,7:39
県営野球場前,7:49
県営野球場前,8:19
県営野球場前,8:59
県営野球場前,9:29
県営野球場前,9:59
県営野球場前,10:29
県営野球場前,10:59
県営野球場前,11:29
県営野球場前,11:59
県営野球場前,12:29
県営野球場前,12:59
県営野球場前,13:29
県営野球場前,13:59
県営野球場前,14:29
県営野球場前,14:59
県営野球場前,15:29
県営野球場前,15:59
県営野球場前,16:29
県営野球場前,16:49
県営野球場前,17:09
県営野球場前,17:24
県営野球場前,17:49
県営野球場前,18:14
県営野球場前,18:44
県営野球場前,19:24
県営野球場前,20:19
県営野球場前,21:19
向陽ニュータウン前,6:33
向陽ニュータウン前,7:09
向陽ニュータウン前,7:24
向陽ニュータウン前,7:39
向陽ニュータウン前,7:49
向陽ニュータウン前,8:19
向陽ニュータウン前,8:59
向陽ニュータウン前,9:29
向陽ニュータウン前,9:59
向陽ニュータウン前,10:29
向陽ニュータウン前,10:59
向陽ニュータウン前,11:29
向陽ニュータウン前,11:59
向陽ニュータウン前,12:29
向陽ニュータウン前,12:59
向陽ニュータウン前,13:29
向陽ニュータウン前,13:59
向陽ニュータウン前,14:29
向陽ニュータウン前,14:59
向陽ニュータウン前,15:29
向陽ニュータウン前,15:59
向陽ニュータウン前,16:29
向陽ニュータウン前,16:49
向陽ニュータウン前,17:09
向陽ニュータウン前,17:24
